post_title,Serving Size,Servings,Calories,Total Fat,Saturated Fat,Trans. Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugars,Protein
¨okoladni obliv Bonn,,,,38.3,23.6,,,0.01,45.1,,42,4.9
Margarina Unifet,,,,80,0,,,0,0,,0,0
Sirup Malina,,,,0.1,0.1,,,0.013,3.6,,3.5,0.1
Sladkor,,,,0,0,,,0,100,,100,0
"Jajce, celo, surovo, sveße",,,,9.94,3.1,,,0,0.77,,0.77,12.58
Vanilijev sladkor,,,,0,0,,,0,99,,99,0
Pecilni praÁek,,,,0.4,0.1,,,0,46.9,,0,0.1
Cimet mleti,,,,3.2,0.8,,,0.03,56,,55.4,3.9
¨okolada v prahu,,,,13.7,8.1,,,0,57.9,,1.8,19.6
Kisla smetana Pomurske mlekarne 20,,,,20,14,,,0.1,2.9,,2.9,3
Kokosova moka,,,,67,62,,,0,6,,6,8
Limonina lupina,,,,0.3,0,,,0,16,,4.17,1.5
PiÁkotne drobtine,,,http://ukusnidani.bambi.rs/b/files/plazma_nutrition.pdf,12,7.5,,,0.3,70.4,,20,11.9
"Kokosovo meso, posuÁeno, nesladkano",,,,64.53,57.2,,,0,23.65,,7.35,6.88
Rum,,,,0,0,,,0,0,,0,0
Sonüniüno olje,,,,100,13,,,0,0,,0,0
Konopljina moka,,,http://www.kmetija-cesenj.com/konopljina-moka/,8.1,0.8,,,0,20,,0,31.9
"Olje, olivno",,,,100,13.8,,,0,0,,0,0
Maslo,,,,81.1,51.4,,,,0.06,,0.85,
marmelada UWE marelica,,,,0.1,0,,,0.06,52.5,,52.1,0.4
"Mleko 3,25 %",,,,3.3,1.9,,,0,4.52,,4.52,3.22
Kvas,,,,4.6,0.6,,,0,38.2,,0,38.3
Ocvrta üebula,,,,50,21.4,,,0,42.9,,0,0
Vanilijevi rogljiüki,,,,28.38,1.12,,,0.00,45.13,,17.04,7.16
Huzarski Krapki,,,,22.1425641,1.027863248,,,0.002905983,46.61247863,,17.16957265,6.741025641
LinÁke oüi,,,,17.80893263,0.163739591,,,0.003785011,58.2,,36.10779712,3.568357305
¨okoladni rogljiüki,,,,,,,,,,,,
Roßice,,,,25.06946565,0.007633588,,,0.001526718,54.77099237,,19.78755725,5.150381679
Kokosovi rogljiüki,,,,29.04,9.58,,,0.0,42.17,,15.77,6.57
AngleÁki piÁkoti,,,,21.69893617,2.513829787,,,0.00106383,61.61702128,,27.94010638,5.345744681
konopljino olje,,,http://www.bija.etrgovine.com/bio-konoplja/konopljino-olje/bio-konopljino-olje-hladno-stiskano-detail,92,8,,,0,0,,0,0
laneno olje,,,http://alternativa-webshop.com/hladno-presano-laneno-ulje-orgona-superfood-250ml.html,99.9,11,,,0,0,,0,0
konopljini proteini,,,http://www.kmetija-cesenj.com/konopljini-proteini/,11.1,1.2,,,0.2,10,,5.9,49
lanena moka,,,http://www.alaja.si/lanena-moka-250g-eko.html,8.8,0.9,,,0.1,3.9,,3.8,40
"goveje meso II kat. ( vrat, podpleüje)",,,http://nutritiondata.self.com/facts/beef-products/3687/2,17,7,,,0,0,,0,19
"praÁ. meso II.kat. ( pleüe, potrebuÁina)",,,http://nutritiondata.self.com/facts/pork-products/2165/2,20,7,,,0,0,,0,17
voda,,,,0,0,,,0,0,,0,0
uk aroma,,,,0.05,0,,,0,46.7,,46.7,0.05
aroma fibrex cs 40,,,,0.02,0,,,0,83.4,,0,0.02
aroma gel ks,,,,0,0,,,22.7,0.2,,0,0.24
aroma hrenovka (teleüja),,,,0.18,0.02,,,7.47,38.54,,38.54,0.47
aroma mix üevapko,,,,0.97,0.18,,,0.02,32.15,,30.19,4.84
aroma us 150,,,,1.09,0,,,1.28,51.86,,16.17,22.61
bazilika,,,,4,0.7,,,0.08,43,,42.5,14
dekstroza,,,,0.1,0,,,0.05,90,,90,0.1
gorüiüna moka,,,,14.3,0.7,,,0.01,28.3,,14.2,24.9
klinüki,,,,20.1,6.1,,,0.05,52,,51.5,6
koriander,,,,17.8,0,,,0.09,25.9,,24.6,12.4
kumina,,,,14.6,0.6,,,0.02,37.3,,7.5,19.8
majaron,,,,7,1.3,,,0.2,42.5,,42,12.7
muÁkatni oreh,,,,36.3,25.9,,,0.05,45,,22.5,5.8
paprika ostra,,,,12.5,1.8,,,0.1,56,,53.1,12.7
paprika sladka,,,,13,2,,,0.1,55.8,,54.5,13.5
pimet mleti,,,,8.7,3,,,0.2,50.5,,48,6.1
poper beli mleti,,,,2.1,0.5,,,0.005,64.3,,61,10.4
extrawurst tiroler 126,,,,2,0.21,,,7.83,50.5,,50.1,25.6
iso contrit 5590,,,,1.5,0.12,,,2.15,79.4,,79.4,7.1
paprika granulat rdeüa/zelena 7190,,,,3.3,0.59,,,0.08,30,,28.5,12.7
PRIMOFRESCH SPARE RIBS,,,,34.7,2.79,,,11.38,8.3,,6.7,1.6
RSC 7 PLUS OA,,,,1.4,0.12,,,43.39,34.8,,34.2,7.2
RUSTICO 75506,,,,2.2,0.19,,,15.84,46.5,,45.1,14.3
STABICON 15,,,,1.4,0.26,,,9.37,47.1,,1.4,1.9
TATARSKI BIFTEK 36-5131,,,,4.9,0.85,,,23.64,33.2,,29.1,9.3
WöRZOMAT 5200,,,,2.3,1.14,,,15.53,33.2,,32.5,27.2
"teleüje meso II.kat ( pleüe, vrat)",,,http://nutritiondata.self.com/facts/lamb-veal-and-game-products/4567/2,3,1,,,0,0,,0,21
praÁiüje Glave s.k.,,,https://www.fatsecret.com/calories-nutrition/generic/pork-ears-tail-head-snout-miscellaneous-parts-cooked,19.07,6.9,,,0,0,,0,30.6
praÁiüja koßa,,,http://nutritiondata.self.com/facts/snacks/5362/2,31,11,,,0,0,,0,61
Knor svinjska juha,,,,1.5,0.8,,,1.3,3.4,,0.5,1.2
kis jabolüni,,,http://nutritiondata.self.com/facts/spices-and-herbs/217/2,0,0,,,0,1,,0,0
poper ürni,,,http://nutritiondata.self.com/facts/spices-and-herbs/200/2,3,1,,,0,65,,1,11
sol mehüanje,,,,0,0,,,100,0,,0,0
aroma tk,,,,0,0,,,0,0,,0,0
svinjska ribica,,,http://nutritiondata.self.com/facts/pork-products/10293/2,2,1,,,0,0,,0,20
svinjski vrat s.k.,,,http://nutritiondata.self.com/facts/pork-products/10302/2,11,4,,,0,0,,0,17
svinjski vrat b.k.,,,http://nutritiondata.self.com/facts/pork-products/10295/2,5,2,,,0,0,,0,18
goveja rebra,,,http://nutritiondata.self.com/facts/beef-products/3325/2,10,4,,,0,0,,0,19
koßna emulzija,,,,31,11,,,0,0,,0,61
goveji kuhani vampi,,,http://nutritiondata.self.com/facts/beef-products/7487/2,4,1,,,0,2,,0,12
pleüe praÁiüje brez kosti in masti,,,http://nutritiondata.self.com/facts/pork-products/2093/2,6,2,,,0,0,,0,21
praÁ.meso I. kat. (stegno oüiÁüeno),,,http://nutritiondata.self.com/facts/pork-products/7658/2,8,3,,,0,0,,0,22
potrebuÁina,,,http://nutritiondata.self.com/facts/beef-products/7491/2,6,2,,,0,0,,0,21
hamburÁka slanina ,,,celjske mesnine,27.3,13.4,,,3.3,2,,0.5,17.2
senator combi,,,,0,0,,,0,0,,0,0
EDAMEC,,,,25.3,16.9,,,1.4,2.7,,2.7,24
kosti mesnate praÁ.,,,https://www.fatsecret.com/calories-nutrition/generic/pork-neck-bones-cooked,4.52,1.53,,,0,0,,0,13.44
svinjske noge,,,http://nutritiondata.self.com/facts/pork-products/9831/2,11,3,,,0,0,,0,19
kraüa prednji del,,,http://nutritiondata.self.com/facts/pork-products/2232/2,62,23,,,0,0,,0,8
odojek,,,https://www.fatsecret.com/calories-nutrition/generic/german-suckling-pig,15.06,5.53,,,0,0,,0,27.94
salo,,,,100,49.8,,,0,0,,0,0
ßar kotanyi,,,,4.2,0.5,,,59.4,18,,9.7,6.6
kruhove drobtine,,,http://nutritiondata.self.com/facts/baked-products/4880/2,5,1,,,0,72,,6,13
peüka,,,,100,49.8,,,0,0,,,0
hrbtna slanina,,,https://www.fatsecret.com/calories-nutrition/generic/fat-back-cooked,23,0,,,0,0,,0,0.95
kosti mesnate teleüje,,,,7.4,2.9,,,0,0,,0,11.3
puranje stegno s koßo,,,http://nutritiondata.self.com/facts/poultry-products/7672/2,10,3,,,0,0,,0,28
gea majoneza,,,,77.3,9.6,,,0.93,4.4,,3,1
maslo Ljubljanske mlekarne ,,,,82,53,,,0.01,0.6,,0.6,0.5
zaüimba,,,,0.1,0.1,,,1.8,23.2,,22.8,1.2
aceto balsamico modena,,,,0,0,,,0.01,12,,11.5,1
olivno olje,,,,100,15,,,0,0,,0,0
sol ,,,,0,0,,,99.7,0,,0,0
sweet butter milk,,,,1,0.5,,,0.8,8,,6,4
tartufata Zigante,,,,13.2,1.8,,,0.88,5.5,,0.9,1.8
worchester pikantna omaka,,,,0.7,0.3,,,2.8,22,,19,0.7
jogurt 2%,,,,2,1.5,,,0.1,4.9,,4.9,8.3
presad marmelada,,,,0.1,0.1,,,0.02,59,,58.2,0.2
spitz tomater,,,,0.5,0.1,,,2.8,22,,18,1.2
sir provolone,,,,27,18,,,1.5,0.5,,0,25
Chedar Somerset,,,,34.4,21.7,,,1.8,0.1,,0.1,25
monteverdi mozzarela,,,,23,15,,,0.4,1.5,,0.7,24
famny,,,,3.6,2,,,2.3,19,,0.5,2.8
panirani piscancji fritesi,,,,8.3,1.6,,,1,23.3,,1.3,12.9
sir gauda,,,,28.8,18.8,,,0.8,0,,0,23.8
ketchup felix,,,,0,0,,,2.2,18,,17,1.2
semena koprca,,,http://nutritiondata.self.com/facts/spices-and-herbs/188/2,15,0,,,0.88,52,,0,16
pehtran suhi,,,http://nutritiondata.self.com/facts/spices-and-herbs/210/2,7,2,,,0.62,50,,0,23
üebula v prahu,,,http://nutritiondata.self.com/facts/spices-and-herbs/196/2,1,0,,,0.54,81,,35,10
kajenski poper,,,http://nutritiondata.self.com/facts/spices-and-herbs/201/2,17,3,,,0.3,57,,10,12
limonin sok,,,,0,0,,,0.01,9,,2,0
grÁki jogurt 10%,,,http://www.myfitnesspal.com/food/calories/pilos-greek-yogurt-10-fat-300663862,10,7,,,0,5,,0,4
figova marmelada,,,,0,0,,,0,0,,0,0
ocvrti krompir,,,http://nutritiondata.self.com/facts/fast-foods-generic/8054/2,16,2,,,2.27,39,,0,4
dimljena slanina,,,,0,0,,,0,0,,0,0
goveje meso,,,,0,0,,,0,0,,0,0
svinjska ribica LS,,,,0,0,,,0,0,,0,0
üesen v prahu,,,http://nutritiondata.self.com/facts/spices-and-herbs/190/2,1,0,,,0.26,73,,24,17
rjavi sladkor,,,http://nutritiondata.self.com/facts/sweets/5591/2,0,0,,,0.28,98,,97,0
karamelizirana üebula,,,,0,0,,,0,0,,0,0
temno pivo bernard,,,,0,0,,,0,0,,0,0
bbq omaka,,,,37.95,4.71,,,1.54,11.47,,9.97,1.18
ranch hisna omaka,,,,52.04,8.16,,,1.34,7.41,,4.25,2.13
grÁka omaka,,,,9.79,6.66,,,0.94,5.23,,0.09,3.89
figova omaka,,,,,,,,,,,,
otroÁka omaka,,,,0.04,0.04,,,1.22,33.97,,33.07,0.79
omaka s ürnim tartufom,,,,31.97,4.01,,,1.38,9.98,,7.96,1.31
bioknoblauchgranulat,,,,0.5,0.1,,,0.1,70,,21,16
bio-intensado neu,,,,1,0.2,,,33.6,31,,17,16
bio-cevapi,,,,0.9,0.2,,,54.3,27,,12,6
bio-brÑtvurst,,,,4.6,0.8,,,9.6,49,,41,10
rosao,,,,0.5,0.1,,,0.02,0.5,,0.5,0.5
goveje obreznine,,,http://nutritiondata.self.com/facts/beef-products/3679/2,22,9,,,0,0,,0,18
kis za vlaganje,,,http://nutritiondata.self.com/facts/spices-and-herbs/7162/2,0,0,,,0,0,,0,0
citronska kislina,,,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1925/2,0,0,,,0,13,,13,0
zmes za ingverjevo testo,,,,0,0,,,0,0,,0,0
med,,,http://nutritiondata.self.com/facts/sweets/5568/2,0,0,,,0,82,,82,0
jedilna üokolada,,,,27,16,,,0.01,60.6,,58.3,4.1
ßelirni sladkor,,,http://www.oetker.si/si-si/nasi-izdelki/vkuhavanje/super-zelirni-sladkor-31.html,0,0,,,0.2,98,,97,0
posuÁena jabolka,,,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1818/2,0,0,,,0,15,,13,0
posuÁene hruÁke,,,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2013/2,0,0,,,0,34,,27,1
posuÁene gobe,,,http://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2487/2,1,0,,,1.3,75,,2,10
