post_title,Serving Size,Servings,Calories,Total Fat,Saturated Fat,Trans. Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugars,Protein
Jegulja,,,,24.5,5.72,,,0,0,,0,15
Morski list,,,,1.9,0.437,,,0,0,,0,17.1
Osliü,,,,2.8,0.59,,,0,0,,0,17.2
SkuÁa,,,,11.9,3.31,,,0,0,,0,18.7
Raßa,,,,1.3,0,,,0,0,,0,20.5
"Jezerska zlatovüica, gojena",,,,3.4,0,,,0,0,,0,19.4
"Êarenka, gojena",,,,1.9,0,,,0,0,,0,18
"Krap, gojen",,,,7.6,1.039,,,0,0,,0,16.9
"Potoüna postrv, gojena",,,,5,0.682,,,0,0,,0,19
Klen,,,,0.6,0,,,0,0,,0,15
Podust,,,,2.5,0,,,0,0,,0,19.9
Êüuka,,,,0.9,0.083,,,0,0,,0,18.4
Losos,,,,13.6,2.868,,,0,0,,0,19.9
Sipa,,,,0.9,0,,,0,0,,0,16.1
Klapavica,,,,1.1,0,,,0,0,,0,11
"Êkoljka, dagnja",,,,2,0.589,,,0,2.4,,0,10.5
Ostriga,,,,1.2,0.415,,,0,4.8,,0,9
Polß,,,,1.2,0.215,,,0,0,,0,12.8
Navadna peÁüena kozica,,,,1.4,0.318,,,0,0,,0,18.6
Jastog,,,,1.9,0.239,,,0,0,,0,15.9
Rarog,,,,1.1,0.13,,,0,1.3,,0,17.2
Sladkovodni rak,,,,0.5,0.0668,,,0,0,,0,15
Prekajena postrv,,,,9.3,0,,,0,0,,0,30.4
"Slanik, prekajen",,,,18.4,4.444,,,0,0,,0,19.4
"Morski list, prekajen",,,,1.9,0.455,,,0,0,,0,23.3
"SkuÁa, prekajena",,,,15.5,2.978,,,0,0,,0,20.7
"Zelenjava z ribo, ""Maestral""",,,,7.5,0,,,0,4.9,,0,7.7
"Zelenjava z ribo, ""Sardinada""",,,,6.5,0,,,0,8.9,,0,9.2
"Riba z zelenjavo, ""Weekend""",,,,7.3,0,,,0,6,,0,7.6
"Riba z zelenjavo, ""Izola Brand""",,,,11,0,,,0,6.5,,0,7.9
"Zelenjava z ribo, ""Argo Picnic""",,,,8.2,0,,,0,8.7,,0,8.2
"Sardine v olju, ploüevinka",,,,13.9,2.22,,,0,0,,0,24.1
"Zelenjava z ribo, ""Antipasta""",,,,6.6,0,,,0,7.6,,0,4.5
Brodet v ploüevinki,,,,5.6,0,,,0,7.5,,0,4.2
Tuna v rastlinskem olju,,,,20.9,0,,,0,0,,0,23.8
Losos v olju,,,,22.8,0,,,10.4,0,,0,16.4
"Rakovica, v ploüevinki",,,,1.7,0,,,0,0,,0,18
"Ribja paÁteta, ""Argeta""",,,,12.7,0,,,0,7.3,,0,10.1
"Ribja paÁteta z zelenjavo, ""Weekend""",,,,12.3,0,,,0,10.5,,0,10.8
Kaviar,,,,15.5,0,,,0,0,,0,26.1
Brancin peüen,,,,2.57,0.655,,,0,0,,0,23.6
Morski pes,,,,4.52,0.925,,,0,0,,0,21
SkuÁa,,,,11.9,4.3,,,0,0,,0,18.7
Sardine,,,,5.18,1.76,,,0,0,,0,18.4
Meüarica,,,,4.4,0.31,,,0,0,,0,19.4
Tuna,,,,15.5,4.78,,,0,0,,0,21.5
Jegulja,,,,33,7.9,,,0,0,,0,14.6
Som,,,,11.3,3,,,0,0,,0,15.3
Êkoljke,,,,1.91,0.55,,,0,4.81,,0,8.26
Êkampi,,,,0.59,0.107,,,0,1.29,,0,20.5
Hobotnica,,,,1.05,0.227,,,0,2.21,,0,14.9
Sol,,,,0,0,,,100,0,,0,0
Oreh,,,,62.5,6.22,,,0,12.14,,0,14.4
Pinjoli,,,,50.7,7.8,,,0,14.2,,0,24
LeÁnik,,,,61.6,4.52,,,0,11.36,,4.62,11.96
Mandelj,,,,54.1,4.65,,,0,9.08,,0,18.72
AraÁid,,,,48.1,6.96,,,0,12.15,,3.2,25.25
Kostanj,,,,2.21,0.414,,,0,53,,12.7,3.18
Kokosov oreh,,,,36.3,31.75,,,0,4.8,,0,44.8
Pistacija,,,,51.6,7.25,,,0,15.66,,0,5.9
Makovo semena,,,,42.2,4.87,,,0,4.2,,0,20
Sezamovo semena,,,,50.4,7.55,,,0,10.2,,0,17.72
Sonüniüna semena,,,,49,5.2,,,0,12.33,,0,22.47
Buüna semena,,,,46,8.7,,,0,17.8,,0,24.5
"Ajda, zrno",,,,2.78,0,,,0,70.5,,2.615,11.4
"Ajda, zrno, ¨ebelica",,,,2.75,0,,,0,74.6,,0,10.8
"Ajda, zrno, Dolenjska siva",,,,2.75,0,,,0,70.5,,2.62,11.1
Ajdova kaÁa,,,,3.52,0,,,0,66,,0.29,17.3
"Ajdova kaÁa, tatarska",,,,3.16,0,,,0,72.3,,0,11.7
Ajdova moka,,,,2.73,0,,,0,72.9,,3.825,10.3
"Ajdova moka, Dolenjska siva",,,,2.77,0,,,0,76.2,,3.83,5.46
"Ajdova moka, Trdinova",,,,2,0,,,0,73.9,,0,10.1
"Ajdova moka, tatarska",,,,2.44,0,,,0,73.6,,0,10.3
"Jeümen, zrno",,,,2.7,0,,,0,73.6,,1.71,10.3
JeÁprenj,,,,2,0,,,0,74.3,,0,7.93
Jeümenova moka,,,,1.86,0,,,0,75,,0,9.92
"Koruza, zrno",,,,5.61,0,,,0,75.1,,1.39,7.87
"Koruza, zrno, Poltrdinka",,,,5.61,0,,,0,75.1,,1.39,7.87
Koruzni zdrob,,,,0.75,0,,,0,79.6,,0,7.41
Koruzni zdrob (bela polenta),,,,1.46,0,,,0,80.2,,0,6.42
Koruzni zdrob (instant polenta),,,,0.21,0,,,0,80.5,,0,7.69
Koruzna moka,,,,4.32,0,,,0,76.1,,0,7.71
"Koruzna moka, Poltrdinka",,,,4.95,0,,,0,74.8,,0,7.92
Ovseni kosmiüi,,,,7.5,0,,,0,69.2,,0.7,11.5
"Pira, zrno",,,,3.03,0,,,0,70.1,,0,13.9
Pirina kaÁa,,,,2.73,0,,,0,70.8,,0,13.2
Pirin zdrob,,,,2.64,0,,,0,70.2,,0,13.4
"Pirina moka, polnozrnata ",,,,2.67,0,,,0,70.7,,1.72,13.9
Pirina moka ,,,,2.76,0,,,0,70.2,,0.757,13.5
"Proso, zrno ",,,,3.71,0,,,0,73.8,,1.45,9.96
"Proso, zrno, Sonüek ",,,,3.37,0,,,0,74.8,,0,9.38
Prosena kaÁa ,,,,4.28,0,,,0,70.8,,0,12.5
"PÁenica, zrno",,,,2.29,0,,,0,72.5,,0.642,13.2
PÁeniüni zdrob (tip 400) ,,,,1.06,0,,,0,75.9,,1.66,10.3
PÁeniüna moka (polnozrnata) ,,,,1.32,0,,,0,74.2,,0,12.2
PÁeniüna moka (tip 1100) ,,,,1.63,0,,,0,74.6,,0,11.6
PÁeniüna moka (tip 850) ,,,,1.6,0,,,0,74.3,,0.69,12.5
PÁeniüna moka (tip 500),,,,1.38,0,,,0,76.1,,0,11.2
PÁeniüna moka (tip 400) ,,,,1.04,0,,,0,76.7,,0.23,10.5
"Rß, zrno",,,,1.92,0,,,0,76.7,,1.22,9.73
Rßena moka,,,,1.68,0,,,0,79,,2.606,7.81
"Rßeni kosmiüi, polnozrnati ",,,,0.34,0,,,0,81.3,,2.692,7.55
Rßeni kosmiüi,,,,1.81,0,,,0,78.5,,2.785,8.69
"Riß, bel, poliran",,,,0.62,0,,,0,77.7,,0.15,6.83
"Riß, rjav, nepoliran ",,,,2.2,0,,,0,74.1,,0.6,7.22
Rißeva moka,,,,0.65,0,,,0,79.6,,0,6.68
Rißev Ákrob,,,,0,0,,,0,85,,0,0.76
Francoska Átruca,,,,3.19,0,,,0,50.4,,2.87,10.1
Polbeli kruh,,,,1.33,0,,,0,47.2,,2.845,9.65
¨rni kruh,,,,1.66,0,,,0,45.7,,3.12,9.7
"¨rni kruh, s krompirjevimi kosmiüi",,,,4.35,0,,,0,41.2,,5.88,8.09
Rßeni kruh,,,,1.92,0,,,0,49.4,,2.096,6.76
"Rßeni kruh, s kefirjem",,,,2.63,0,,,0,46.8,,1.98,7.53
"Rßeni meÁani kruh ""GLYX""",,,,2.05,0,,,0,45.5,,1.66,8.81
"Rßeni kruh ""SVIT""",,,,2.29,0,,,0,43.3,,2.58,9.15
Ovseni meÁani kruh,,,,3.02,0,,,0,45.3,,3.201,9.74
Koruzni kruh,,,,1.75,0,,,0,50,,5.586,8.25
"KruÁno pecivo, Êtruüka s sirom",,,,7.47,0,,,0,44.2,,2.953,15.2
Pirin meÁani kruh,,,,5.77,0,,,0,42.7,,4,10.5
"Pirin kruh, z jabolünimi krhlji",,,,6.13,0,,,0,39.5,,4.02,10.9
"Prepeüenec, Beli",,,,5.68,0,,,0,74.1,,6.785,12.7
"Prepeüenec, Veü ßit",,,,6.01,0,,,0,71.1,,4.22,13.8
"PÁeniüni meÁani kruh, Z manj soli",,,,1.1,0,,,0,46.2,,2.495,10.3
Belokranjska pogaüa,,,,1.32,0,,,0,47.5,,2.337,7.88
"PÁeniüni meÁani kruh, S semeni",,,,8.32,0,,,0,45,,3.017,11.8
"PÁeniüni meÁani kruh ""Jelenov""",,,,2.12,0,,,0,44.9,,2.88,8.9
"PÁeniüni meÁani kruh ""Krjavelj""",,,,2.73,0,,,0,44.1,,0.46,9.15
