koda,Zivilo,Posebnosti,Mascobe,Nasicene,Ogljikovi hidrati,Sladkorji,Beljakovine,Soli,
ME93,SVINJSKA KRI,,0.4,0.1,0.1,0,16.6,0,
ME94,SVINJSKI MO¶GANI,,9,5.1,0,0,1.6,0,
ME95,GOVEJA KRI,,0.13,0,0,0,17.8,0,
DO9,Aroma Ruma,,78.1,9.6,0,0,0,0,
DO10,Marmelada MeÁano sadja Presad,,0.1,0.1,59.3,58.8,0.12,0.02,
DO11,¨okoladni obliv Bonn,,38.3,23.6,45.1,42,4.9,0.01,
DO12,Margarina Unifet,,80,0,0,0,0,0,
DO13,Sirup Malina,,0.1,0.1,3.6,3.5,0.1,0.013,
DO14,Sladkor,,0,0,100,100,0,0,
DO15,"Jajce, celo, surovo, sveße",,9.94,3.1,0.77,0.77,12.58,0,
DO16,Vanilijev sladkor,,0,0,99,99,0,0,
DO17,Pecilni praÁek,,0.4,0.1,46.9,0,0.1,0,
DO18,Cimet mleti,,3.2,0.8,56,55.4,3.9,0.03,
DO19,¨okolada v prahu,,13.7,8.1,57.9,1.8,19.6,0,
DO20,Kisla smetana Pomurske mlekarne 20,,20,14,2.9,2.9,3,0.1,
DO21,Kokosova moka,,67,62,6,6,8,0,
DO22,Limonina lupina,,0.3,0,16,4.17,1.5,0,
DO23,PiÁkotne drobtine,http://ukusnidani.bambi.rs/b/files/plazma_nutrition.pdf,12,7.5,70.4,20,11.9,0.3,
DO24,"Kokosovo meso, posuÁeno, nesladkano",,64.53,57.2,23.65,7.35,6.88,0,
DO25,Rum,,0,0,0,0,0,0,
DO26,Sonüniüno olje,,100,13,0,0,0,0,
DO27,Konopljina moka,http://www.kmetija-cesenj.com/konopljina-moka/,8.1,0.8,20,0,31.9,0,
DO28,"Olje, olivno",,100,13.8,0,0,0,0,
DO29,Maslo,,81.1,51.4,0.06,0.85,,,
DO30,marmelada UWE marelica,,0.1,0,52.5,52.1,0.4,0.06,
DO31,"Mleko 3,25 %",,3.3,1.9,4.52,4.52,3.22,0,
DO32,Kvas,,4.6,0.6,38.2,0,38.3,0,
DO33,Ocvrta üebula,,50,21.4,42.9,0,0,0,
KI1,Vanilijevi rogljiüki,,28.38,1.12,45.13,17.04,7.16,0.00,
KI2,Huzarski Krapki,,22.1425641,1.027863248,46.61247863,17.16957265,6.741025641,0.002905983,
KI3,LinÁke oüi,,17.80893263,0.163739591,58.2,36.10779712,3.568357305,0.003785011,
KI4,¨okoladni rogljiüki,,,,,,,,
KI5,Roßice,,25.06946565,0.007633588,54.77099237,19.78755725,5.150381679,0.001526718,
KI6,Kokosovi rogljiüki,,29.04,9.58,42.17,15.77,6.57,0.0,
KI7,AngleÁki piÁkoti,,21.69893617,2.513829787,61.61702128,27.94010638,5.345744681,0.00106383,
ki8,konopljino olje,http://www.bija.etrgovine.com/bio-konoplja/konopljino-olje/bio-konopljino-olje-hladno-stiskano-detail,92,8,0,0,0,0,
ki9,laneno olje,http://alternativa-webshop.com/hladno-presano-laneno-ulje-orgona-superfood-250ml.html,99.9,11,0,0,0,0,
ki10,konopljini proteini,http://www.kmetija-cesenj.com/konopljini-proteini/,11.1,1.2,10,5.9,49,0.2,
ki11,lanena moka,http://www.alaja.si/lanena-moka-250g-eko.html,8.8,0.9,3.9,3.8,40,0.1,
ki12,"goveje meso II kat. ( vrat, podpleüje)",http://nutritiondata.self.com/facts/beef-products/3687/2,17,7,0,0,19,0,
ki13,"praÁ. meso II.kat. ( pleüe, potrebuÁina)",http://nutritiondata.self.com/facts/pork-products/2165/2,20,7,0,0,17,0,
ki14,voda,,0,0,0,0,0,0,
ki15,uk aroma,,0.05,0,46.7,46.7,0.05,0,
ki16,aroma fibrex cs 40,,0.02,0,83.4,0,0.02,0,
ki17,aroma gel ks,,0,0,0.2,0,0.24,22.7,
ki18,aroma hrenovka (teleüja),,0.18,0.02,38.54,38.54,0.47,7.47,
ki19,aroma mix üevapko,,0.97,0.18,32.15,30.19,4.84,0.02,
ki20,aroma us 150,,1.09,0,51.86,16.17,22.61,1.28,
ki21,bazilika,,4,0.7,43,42.5,14,0.08,
ki22,dekstroza,,0.1,0,90,90,0.1,0.05,
ki23,gorüiüna moka,,14.3,0.7,28.3,14.2,24.9,0.01,
ki24,klinüki,,20.1,6.1,52,51.5,6,0.05,
ki25,koriander,,17.8,0,25.9,24.6,12.4,0.09,
ki26,kumina,,14.6,0.6,37.3,7.5,19.8,0.02,
ki27,majaron,,7,1.3,42.5,42,12.7,0.2,
ki28,muÁkatni oreh,,36.3,25.9,45,22.5,5.8,0.05,
ki29,paprika ostra,,12.5,1.8,56,53.1,12.7,0.1,
ki30,paprika sladka,,13,2,55.8,54.5,13.5,0.1,
ki31,pimet mleti,,8.7,3,50.5,48,6.1,0.2,
ki32,poper beli mleti,,2.1,0.5,64.3,61,10.4,0.005,
ki33,extrawurst tiroler 126,,2,0.21,50.5,50.1,25.6,7.83,
ki34,iso contrit 5590,,1.5,0.12,79.4,79.4,7.1,2.15,
ki35,paprika granulat rdeüa/zelena 7190,,3.3,0.59,30,28.5,12.7,0.08,
ki36,PRIMOFRESCH SPARE RIBS,,34.7,2.79,8.3,6.7,1.6,11.38,
ki37,RSC 7 PLUS OA,,1.4,0.12,34.8,34.2,7.2,43.39,
ki38,RUSTICO 75506,,2.2,0.19,46.5,45.1,14.3,15.84,
ki39,STABICON 15,,1.4,0.26,47.1,1.4,1.9,9.37,
ki40,TATARSKI BIFTEK 36-5131,,4.9,0.85,33.2,29.1,9.3,23.64,
ki41,WöRZOMAT 5200,,2.3,1.14,33.2,32.5,27.2,15.53,
ki42,"teleüje meso II.kat ( pleüe, vrat)",http://nutritiondata.self.com/facts/lamb-veal-and-game-products/4567/2,3,1,0,0,21,0,
ki43,praÁiüje Glave s.k.,https://www.fatsecret.com/calories-nutrition/generic/pork-ears-tail-head-snout-miscellaneous-parts-cooked,19.07,6.9,0,0,30.6,0,
ki44,praÁiüja koßa,http://nutritiondata.self.com/facts/snacks/5362/2,31,11,0,0,61,0,
ki45,Knor svinjska juha,,1.5,0.8,3.4,0.5,1.2,1.3,
ki46,kis jabolüni,http://nutritiondata.self.com/facts/spices-and-herbs/217/2,0,0,1,0,0,0,
ki47,poper ürni,http://nutritiondata.self.com/facts/spices-and-herbs/200/2,3,1,65,1,11,0,
ki48,sol mehüanje,,0,0,0,0,0,100,
ki49,aroma tk,,0,0,0,0,0,0,
ki50,svinjska ribica,http://nutritiondata.self.com/facts/pork-products/10293/2,2,1,0,0,20,0,
ki51,svinjski vrat s.k.,http://nutritiondata.self.com/facts/pork-products/10302/2,11,4,0,0,17,0,
ki52,svinjski vrat b.k.,http://nutritiondata.self.com/facts/pork-products/10295/2,5,2,0,0,18,0,
ki53,goveja rebra,http://nutritiondata.self.com/facts/beef-products/3325/2,10,4,0,0,19,0,
ki54,koßna emulzija,,31,11,0,0,61,0,
ki55,goveji kuhani vampi,http://nutritiondata.self.com/facts/beef-products/7487/2,4,1,2,0,12,0,
ki56,pleüe praÁiüje brez kosti in masti,http://nutritiondata.self.com/facts/pork-products/2093/2,6,2,0,0,21,0,
ki57,praÁ.meso I. kat. (stegno oüiÁüeno),http://nutritiondata.self.com/facts/pork-products/7658/2,8,3,0,0,22,0,
ki58,potrebuÁina,http://nutritiondata.self.com/facts/beef-products/7491/2,6,2,0,0,21,0,
ki59,hamburÁka slanina ,celjske mesnine,27.3,13.4,2,0.5,17.2,3.3,
ki60,senator combi,,0,0,0,0,0,0,
ki61,EDAMEC,,25.3,16.9,2.7,2.7,24,1.4,
ki62,kosti mesnate praÁ.,https://www.fatsecret.com/calories-nutrition/generic/pork-neck-bones-cooked,4.52,1.53,0,0,13.44,0,
ki63,svinjske noge,http://nutritiondata.self.com/facts/pork-products/9831/2,11,3,0,0,19,0,
ki64,kraüa prednji del,http://nutritiondata.self.com/facts/pork-products/2232/2,62,23,0,0,8,0,
ki65,odojek,https://www.fatsecret.com/calories-nutrition/generic/german-suckling-pig,15.06,5.53,0,0,27.94,0,
ki66,salo,,100,49.8,0,0,0,0,
ki67,ßar kotanyi,,4.2,0.5,18,9.7,6.6,59.4,
ki68,kruhove drobtine,http://nutritiondata.self.com/facts/baked-products/4880/2,5,1,72,6,13,0,
ki69,peüka,,100,49.8,0,,0,0,
ki70,hrbtna slanina,https://www.fatsecret.com/calories-nutrition/generic/fat-back-cooked,23,0,0,0,0.95,0,
ki71,kosti mesnate teleüje,,7.4,2.9,0,0,11.3,0,
ki72,puranje stegno s koßo,http://nutritiondata.self.com/facts/poultry-products/7672/2,10,3,0,0,28,0,
ls1,gea majoneza,,77.3,9.6,4.4,3,1,0.93,
ls2,maslo Ljubljanske mlekarne ,,82,53,0.6,0.6,0.5,0.01,
ls3,zaüimba,,0.1,0.1,23.2,22.8,1.2,1.8,
ls4,aceto balsamico modena,,0,0,12,11.5,1,0.01,
ls5,olivno olje,,100,15,0,0,0,0,
ls6,sol ,,0,0,0,0,0,99.7,
ls7,sweet butter milk,,1,0.5,8,6,4,0.8,
ls8,tartufata Zigante,,13.2,1.8,5.5,0.9,1.8,0.88,
ls9,worchester pikantna omaka,,0.7,0.3,22,19,0.7,2.8,
ls10,jogurt 2%,,2,1.5,4.9,4.9,8.3,0.1,
ls11,presad marmelada,,0.1,0.1,59,58.2,0.2,0.02,
ls12,spitz tomater,,0.5,0.1,22,18,1.2,2.8,
ls13,sir provolone,,27,18,0.5,0,25,1.5,
ls14,Chedar Somerset,,34.4,21.7,0.1,0.1,25,1.8,
ls15,monteverdi mozzarela,,23,15,1.5,0.7,24,0.4,
ls16,famny,,3.6,2,19,0.5,2.8,2.3,
ls17,panirani piscancji fritesi,,8.3,1.6,23.3,1.3,12.9,1,
ls18,sir gauda,,28.8,18.8,0,0,23.8,0.8,
ls19,ketchup felix,,0,0,18,17,1.2,2.2,
ls20,semena koprca,http://nutritiondata.self.com/facts/spices-and-herbs/188/2,15,0,52,0,16,0.88,
ls22,pehtran suhi,http://nutritiondata.self.com/facts/spices-and-herbs/210/2,7,2,50,0,23,0.62,
ls23,üebula v prahu,http://nutritiondata.self.com/facts/spices-and-herbs/196/2,1,0,81,35,10,0.54,
ls24,kajenski poper,http://nutritiondata.self.com/facts/spices-and-herbs/201/2,17,3,57,10,12,0.3,
ls25,limonin sok,,0,0,9,2,0,0.01,
ls26,grÁki jogurt 10%,http://www.myfitnesspal.com/food/calories/pilos-greek-yogurt-10-fat-300663862,10,7,5,0,4,0,
ls27,figova marmelada,,0,0,0,0,0,0,
ls28,ocvrti krompir,http://nutritiondata.self.com/facts/fast-foods-generic/8054/2,16,2,39,0,4,2.27,
ls29,dimljena slanina,,0,0,0,0,0,0,
ls30,goveje meso,,0,0,0,0,0,0,
ls31,svinjska ribica LS,,0,0,0,0,0,0,
ls32,üesen v prahu,http://nutritiondata.self.com/facts/spices-and-herbs/190/2,1,0,73,24,17,0.26,
ls33,rjavi sladkor,http://nutritiondata.self.com/facts/sweets/5591/2,0,0,98,97,0,0.28,
ls34,karamelizirana üebula,,0,0,0,0,0,0,
ls35,temno pivo bernard,,0,0,0,0,0,0,
ls36,bbq omaka,,37.95,4.71,11.47,9.97,1.18,1.54,
ls37,ranch hisna omaka,,52.04,8.16,7.41,4.25,2.13,1.34,
ls38,grÁka omaka,,9.79,6.66,5.23,0.09,3.89,0.94,
ls39,figova omaka,,,,,,,,
ls40,otroÁka omaka,,0.04,0.04,33.97,33.07,0.79,1.22,
ls41,omaka s ürnim tartufom,,31.97,4.01,9.98,7.96,1.31,1.38,
oc1,bioknoblauchgranulat,,0.5,0.1,70,21,16,0.1,
oc2,bio-intensado neu,,1,0.2,31,17,16,33.6,
oc3,bio-cevapi,,0.9,0.2,27,12,6,54.3,
oc4,bio-brÑtvurst,,4.6,0.8,49,41,10,9.6,
oc5,rosao,,0.5,0.1,0.5,0.5,0.5,0.02,
oc6,goveje obreznine,http://nutritiondata.self.com/facts/beef-products/3679/2,22,9,0,0,18,0,
je1,kis za vlaganje,http://nutritiondata.self.com/facts/spices-and-herbs/7162/2,0,0,0,0,0,0,
je2,citronska kislina,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1925/2,0,0,13,13,0,0,
je3,zmes za ingverjevo testo,,0,0,0,0,0,0,
je4,med,http://nutritiondata.self.com/facts/sweets/5568/2,0,0,82,82,0,0,
je5,jedilna üokolada,,27,16,60.6,58.3,4.1,0.01,
je6,ßelirni sladkor,http://www.oetker.si/si-si/nasi-izdelki/vkuhavanje/super-zelirni-sladkor-31.html,0,0,98,97,0,0.2,
je7,posuÁena jabolka,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/1818/2,0,0,15,13,0,0,
je8,posuÁene hruÁke,http://nutritiondata.self.com/facts/fruits-and-fruit-juices/2013/2,0,0,34,27,1,0,
je9,posuÁene gobe,http://nutritiondata.self.com/facts/vegetables-and-vegetable-products/2487/2,1,0,75,2,10,1.3,
